id,language,question
429,IQ,袋に赤玉4個、青玉6個。2個同時に取って両方赤の確率は？
430,IQ,3回コインを投げて少なくとも1回表が出る確率は？
431,IQ,"A=1, B=2, C=3...の法則で「CAT」は？"
432,IQ,シーザー暗号で「ABC」を3文字ずらすと？
433,IQ,"1=A, 2=B...で「8-5-12-12-15」は？"
434,IQ,逆読みで「EMIT」は何を意味する？
435,IQ,母音抜き暗号「SMRT」の元の単語は？
436,IQ,"A→Z, B→Y...の法則で「CAT」は？"
437,IQ,"2倍暗号で「DOG」の数値合計は？(A=2,B=4...)"
438,IQ,「12-15-22-5」は何の単語？
439,IQ,ピッグ・ラテンで「pig」は？
440,IQ,ROT13で「HELLO」は？
441,IQ,二進数「1010」は十進数で？
442,IQ,モールス信号「•−•」は？
443,IQ,"単語暗号：SUN=318, MON=？"
444,IQ,カエサル暗号（-2）で「CAT」は？
445,IQ,数字語：「520」は中国語で何を意味する？
446,IQ,3人がそれぞれ嘘つきか正直者。A「私は嘘つき」B「Aは正直者」C「Bは嘘つき」。誰が嘘つき？
447,IQ,赤・青・緑の帽子。A「私は赤じゃない」B「私は青」C「私は緑じゃない」。1人だけ嘘つき。Cの帽子の色は？
448,IQ,5人でリレー。AはCより速く、BはDより遅く、CはEより速い。EはDより速い。最も速いのは？
449,IQ,4枚のカード「A・B・2・3」。「母音の裏は偶数」を確認するには？
450,IQ,3つのスイッチ、1つが電球。1回だけ部屋に入れる。どう確認？
451,IQ,3つの箱：金だけ、銀だけ、金銀混合。全てラベルが間違い。1枚だけコインを見て全て当てるには？
452,IQ,12個の玉、1個だけ重さが違う。天秤3回で特定するには？
453,IQ,100人の村。A「私以外全員嘘つき」。何人が正直者？
454,IQ,赤青黄の3つの扉。赤の扉「宝は青の扉」青の扉「宝はここ」黄の扉「宝は赤の扉にない」。1つだけ正直。宝は？
455,IQ,"犯人はA,B,Cの誰か。A「Bが犯人」B「Cが犯人」C「私は無実」。犯人1人で他2人は正直。犯人は？"
456,IQ,5人が円卓。AはBの隣でない、CはDの隣、EはAの隣。BとDの関係は？
457,IQ,"A,B,Cが試合。勝者は次の人と対戦。AがBに勝ち、次にCに負けた。2試合目は？"
458,IQ,4人のうち2人が双子。A「私はBの兄弟じゃない」B「私はCの兄弟」C「私はDの兄弟じゃない」D「私はAの兄弟」。双子は？
459,IQ,5枚のカードの合計は50。平均は10。中央値は11。最小は8。2番目に小さい数は？
460,IQ,ある規則で時計の針を進める。3時→6時→10時→？
461,IQ,"3×3のマス：左上から「1,2,3/4,5,6/7,8,?」。?は？"
462,IQ,"各行の和が15：「2,5,8/?4,6/3,7,?」。2つの?の和は？"
463,IQ,"対角線の積が等しい：「2,3,4/5,6,7/8,9,?」。?は？"
464,IQ,"2×2マス、各数は周囲の和：「1,2/3,?」。?は？"
465,IQ,回転パターン：○が時計回りに移動。次は？
466,IQ,色パターン：赤→青→黄→赤→青→?
467,IQ,"各列の積が等しい：「2,3,4/1,6,?/4,?,1」。欠けた2数の積は？"
468,IQ,"形状増加：△,△△,△△△,?"
469,IQ,"魔方陣の一部：「4,9,2/?5,7/8,1,?」。?の和は？"
470,IQ,"2倍パターン：「1,2,4/3,6,12/?24,48」。?は？"
471,IQ,"A={1,2,3}, B={2,3,4}。A∩Bは？"
472,IQ,"A={1,2,3}, B={3,4,5}。A∪Bの要素数は？"
473,IQ,"全体集合U={1,2,3,4,5}, A={1,2,3}。Aの補集合は？"
474,IQ,"A⊂B, B⊂C。正しいのは？"
475,IQ,30人のクラス。数学好き20人、国語好き15人、両方好き8人。どちらも嫌いは？
476,IQ,"A-B（差集合）={1,2}, B-A={4,5}, A∩B={3}。A∪Bは？"
477,IQ,"べき集合：A={1,2}のべき集合の要素数は？"
478,IQ,"A×B（直積）：A={1,2}, B={3,4}。A×Bの要素数は？"
479,IQ,ド・モルガンの法則：(A∪B)^c = ?
480,IQ,100人：英語80人、数学70人、両方60人。どちらか1つだけ？
481,IQ,全てのAはB。全てのBはC。よって全てのAは？
482,IQ,AまたはBが真。Aが偽。よってBは？
483,IQ,もしAならばB。Bが偽。よってAは？
484,IQ,AかつBが真。よってAは？
485,IQ,もしAならばB。Aが真。よってBは？
486,IQ,医者でない人は全員看護師。太郎は看護師でない。太郎は？
487,IQ,A→B、B→C、C→D。Aが真ならDは？
488,IQ,赤か青のどちらか。赤でない。よって？
489,IQ,AならばB。BならばC。CならばA。Aが偽ならBは？
490,IQ,全ての猫は動物。ポチは動物でない。ポチは？
491,IQ,もしAならばBかC。Bが偽、Cが偽。よってAは？
492,IQ,AとBは両方真か両方偽。Aが真。Bは？
493,IQ,少なくとも1人は嘘つき。全員正直者は矛盾。よって？
494,IQ,XかYが必要。Xがない。よって？
495,IQ,もしAならばBでない。Bが真。よってAは？
496,IQ,"2, 4, 8, 16, ?"
497,IQ,"1, 1, 2, 3, 5, 8, ?"
498,IQ,"3, 6, 12, 24, ?"
499,IQ,"1, 4, 9, 16, 25, ?"
500,IQ,"2, 5, 10, 17, 26, ?"
501,IQ,"5, 10, 20, 35, 55, ?"
502,IQ,"1, 3, 7, 15, 31, ?"
503,IQ,"100, 50, 25, 12.5, ?"
504,IQ,"2, 3, 5, 7, 11, ?"
505,IQ,"1, 8, 27, 64, ?"
506,IQ,"0, 1, 1, 2, 4, 7, 13, ?"
507,IQ,"6, 12, 24, 48, ?"
508,IQ,"10, 20, 15, 30, 25, ?"
509,IQ,"3, 9, 27, 81, ?"
510,IQ,"1, 2, 4, 7, 11, 16, ?"
511,IQ,立方体を真上から見ると？
512,IQ,円柱を横から見ると？
513,IQ,正方形を対角線で折ると？
514,IQ,立方体の展開図。向かい合う面の数字の和が7。1の向かいは？
515,IQ,鏡に映った「AMBULANCE」は？
516,IQ,時計の針が3時を指している。鏡に映ると？
517,IQ,正四面体の面の数は？
518,IQ,立方体を斜めに切ると断面は？
519,IQ,円錐を真横から見ると？
520,IQ,正六面体（立方体）の頂点の数は？
521,IQ,3人を2つのグループに分ける方法は？
522,IQ,4つから2つ選ぶ方法は？
523,IQ,3色から2色選んで並べる方法は？
524,IQ,5人が一列に並ぶ方法は？
525,IQ,10人から3人選ぶ方法は？
526,IQ,ABCの3文字を並べ替える方法は？
527,IQ,赤玉3個、青玉2個を並べる方法は？
528,IQ,6人から委員長・副委員長を選ぶ方法は？
529,IQ,コイン3枚を投げる結果は？
530,IQ,5つの都市を巡る最短経路（始点固定）の候補数は？
531,IQ,時速60kmで2時間走った距離は？
532,IQ,120kmを時速40kmで走る時間は？
533,IQ,300kmを5時間で走る速度は？
534,IQ,AとBが反対方向に時速50km、時速30kmで出発。2時間後の距離は？
535,IQ,時計の長針が12から3まで動く時間は？
536,IQ,川の流れ：上り時速10km、下り時速20km。静水時の速度は？
537,IQ,9時から12時まで何時間？
538,IQ,時速72kmは秒速何m？
539,IQ,A地点から30km離れたB地点へ時速60kmで向かう。何分かかる？
540,IQ,池の周りを時速12kmと時速8kmで同時出発。追いつく時間は？（周長4km）
541,IQ,往復で平均時速60km。行きが時速40km。帰りの速度は？
542,IQ,10分で1200m進む。時速は？
543,IQ,AがBより30分早く出発。時速60kmと80km。Bが追いつく時間は？
544,IQ,時計の短針と長針が重なるのは12時の次は？
545,IQ,分速80mで15分歩いた距離は？
546,IQ,100の20%は？
547,IQ,200円の30%引きは？
548,IQ,A:B=2:3、A=10のときBは？
549,IQ,500円が20%増えると？
550,IQ,40人中8人が欠席。出席率は？
551,IQ,3:4:5の比で60を分けると最大は？
552,IQ,原価800円、2割の利益。売値は？
553,IQ,濃度5%の食塩水200g。食塩は何g？
554,IQ,15は60の何%？
555,IQ,A:B=3:5、A+B=80。Aは？
556,IQ,10%の食塩水300gと20%の食塩水200gを混ぜると？
557,IQ,定価の2割引きで1600円。定価は？
558,IQ,男子24人、女子16人。男子の割合は？
559,IQ,800円が20%引き後、さらに10%引き。最終価格は？
560,IQ,AとBの比が2:3。Aを30%増やすとBと同じ。元のAは？
561,IQ,"1, 4, 9, 16, 25の規則は？"
562,IQ,"A, C, E, G, ?"
563,IQ,○△□○△□○△?
564,IQ,"1, 1, 2, 6, 24, ?"
565,IQ,月火水木金土?
566,IQ,"2, 6, 12, 20, 30, ?"
567,IQ,春夏秋冬春夏?
568,IQ,赤青黄緑赤青?
569,IQ,"A1, B2, C3, D4, ?"
570,IQ,"10, 20, 15, 30, 25, 50, ?"
571,IQ,"A>B, B>C, C>D。最大は？"
572,IQ,赤か青、青でない、よって？
573,IQ,AはBの兄、BはCの姉。AとCの関係は？
574,IQ,5人：太郎は花子より背が高い。次郎は太郎より低い。花子は三郎より高い。四郎は次郎より高い。最も高いのは？
575,IQ,猫か犬、鳴かない、犬は鳴く。よって？
576,IQ,"A,B,Cが野球、サッカー、テニスをする。Aは球を蹴らない。Bはネットを使わない。Cのスポーツは？"
577,IQ,3人が赤白青の服。Aは赤でない、Bは白でない、Cは青でない。Aの服は？
578,IQ,月曜から金曜まで5教科。国語は水曜より前、数学は木曜、英語は火曜でない、理科は国語の翌日。月曜の教科は？
579,IQ,4人が1~4位。Aは1位でない。Bは最下位でない。Cは2位。Dの順位は？
580,IQ,犬、猫、鳥がいる。犬は吠える、猫は鳴く、鳥は鳴く。吠えない動物は？
581,IQ,次の図形パターンで？に入るのは？
582,IQ,次の色パターンで？に入るのは？
583,IQ,図形の数のパターンで次に来るのは？
584,IQ,次に来る図形は？
585,IQ,矢印の向きのパターンで次は？
586,IQ,円の大きさのパターンで次は？
587,IQ,左右対称を完成させるには？
588,IQ,重なりの数のパターンは？
589,IQ,図形の分割パターンで次は？
590,IQ,サイコロの目のパターンで次は？
591,IQ,濃淡のパターンで次は？
592,IQ,正方形の回転パターンで次は？
593,IQ,各行の合計が15になる数字は？
594,IQ,鏡に映った図形は？
595,IQ,この展開図でできる立体は？
596,IQ,欠けている円の位置は？
597,IQ,パターン16で次に来るのは？
598,IQ,パターン17で次に来るのは？
599,IQ,パターン18で次に来るのは？
600,IQ,パターン19で次に来るのは？
601,IQ,パターン20で次に来るのは？
602,IQ,パターン21で次に来るのは？
603,IQ,パターン22で次に来るのは？
604,IQ,パターン23で次に来るのは？
605,IQ,パターン24で次に来るのは？
606,IQ,パターン25で次に来るのは？
607,IQ,パターン26で次に来るのは？
608,IQ,パターン27で次に来るのは？
609,IQ,パターン28で次に来るのは？
610,IQ,パターン29で次に来るのは？
611,IQ,パターン30で次に来るのは？
612,IQ,パターン31で次に来るのは？
613,IQ,パターン32で次に来るのは？
614,IQ,パターン33で次に来るのは？
615,IQ,パターン34で次に来るのは？
616,IQ,パターン35で次に来るのは？
617,IQ,パターン36で次に来るのは？
618,IQ,パターン37で次に来るのは？
619,IQ,パターン38で次に来るのは？
620,IQ,パターン39で次に来るのは？
621,IQ,パターン40で次に来るのは？
622,IQ,パターン41で次に来るのは？
623,IQ,パターン42で次に来るのは？
624,IQ,パターン43で次に来るのは？
625,IQ,パターン44で次に来るのは？
626,IQ,パターン45で次に来るのは？
627,IQ,パターン46で次に来るのは？
628,IQ,パターン47で次に来るのは？
629,IQ,パターン48で次に来るのは？
630,IQ,パターン49で次に来るのは？
631,IQ,パターン50で次に来るのは？
632,IQ,時計が1時を指している。2時間後は？
633,IQ,時計が2時を指している。2時間後は？
634,IQ,時計が3時を指している。2時間後は？
635,IQ,時計が4時を指している。2時間後は？
636,IQ,時計が5時を指している。2時間後は？
637,IQ,時計が6時を指している。2時間後は？
638,IQ,時計が7時を指している。2時間後は？
639,IQ,時計が8時を指している。2時間後は？
640,IQ,時計が9時を指している。2時間後は？
641,IQ,時計が10時を指している。2時間後は？
642,IQ,数学21人、英語16人、両方4人。数学のみは？
643,IQ,数学22人、英語17人、両方5人。数学のみは？
644,IQ,数学23人、英語18人、両方6人。数学のみは？
645,IQ,数学24人、英語19人、両方7人。数学のみは？
646,IQ,数学25人、英語20人、両方8人。数学のみは？
647,IQ,数学26人、英語21人、両方9人。数学のみは？
648,IQ,数学27人、英語22人、両方10人。数学のみは？
649,IQ,数学28人、英語23人、両方11人。数学のみは？
650,IQ,数学29人、英語24人、両方12人。数学のみは？
651,IQ,数学30人、英語25人、両方13人。数学のみは？
652,IQ,座標パターン71：規則的に並ぶ点の次は？
653,IQ,座標パターン72：規則的に並ぶ点の次は？
654,IQ,座標パターン73：規則的に並ぶ点の次は？
655,IQ,座標パターン74：規則的に並ぶ点の次は？
656,IQ,座標パターン75：規則的に並ぶ点の次は？
657,IQ,座標パターン76：規則的に並ぶ点の次は？
658,IQ,座標パターン77：規則的に並ぶ点の次は？
659,IQ,座標パターン78：規則的に並ぶ点の次は？
660,IQ,座標パターン79：規則的に並ぶ点の次は？
661,IQ,座標パターン80：規則的に並ぶ点の次は？
662,IQ,天秤の左に1kg。釣り合うには右に？
663,IQ,天秤の左に2kg。釣り合うには右に？
664,IQ,天秤の左に3kg。釣り合うには右に？
665,IQ,天秤の左に4kg。釣り合うには右に？
666,IQ,天秤の左に5kg。釣り合うには右に？
667,IQ,天秤の左に6kg。釣り合うには右に？
668,IQ,天秤の左に7kg。釣り合うには右に？
669,IQ,天秤の左に8kg。釣り合うには右に？
670,IQ,天秤の左に9kg。釣り合うには右に？
671,IQ,天秤の左に10kg。釣り合うには右に？
672,IQ,"論理AND回路：A=1, B=1のとき出力は？"
673,IQ,"論理AND回路：A=1, B=0のとき出力は？"
674,IQ,"論理AND回路：A=1, B=1のとき出力は？"
675,IQ,"論理AND回路：A=1, B=0のとき出力は？"
676,IQ,"論理AND回路：A=1, B=1のとき出力は？"
677,IQ,"論理AND回路：A=1, B=0のとき出力は？"
678,IQ,"論理AND回路：A=1, B=1のとき出力は？"
679,IQ,"論理AND回路：A=1, B=0のとき出力は？"
680,IQ,"論理AND回路：A=1, B=1のとき出力は？"
681,IQ,"論理AND回路：A=1, B=0のとき出力は？"
682,IQ,サイコロを1回振って2が出る確率は？
683,IQ,サイコロを1回振って3が出る確率は？
684,IQ,サイコロを1回振って4が出る確率は？
685,IQ,サイコロを1回振って5が出る確率は？
686,IQ,サイコロを1回振って6が出る確率は？
687,IQ,サイコロを1回振って1が出る確率は？
688,IQ,サイコロを1回振って2が出る確率は？
689,IQ,サイコロを1回振って3が出る確率は？
690,IQ,サイコロを1回振って4が出る確率は？
691,IQ,サイコロを1回振って5が出る確率は？
692,IQ,3個から2個選ぶ組み合わせの数は？
693,IQ,4個から2個選ぶ組み合わせの数は？
694,IQ,5個から2個選ぶ組み合わせの数は？
695,IQ,6個から2個選ぶ組み合わせの数は？
696,IQ,7個から2個選ぶ組み合わせの数は？
697,IQ,8個から2個選ぶ組み合わせの数は？
698,IQ,9個から2個選ぶ組み合わせの数は？
699,IQ,10個から2個選ぶ組み合わせの数は？
700,IQ,11個から2個選ぶ組み合わせの数は？
701,IQ,12個から2個選ぶ組み合わせの数は？
702,IQ,A>B、B>Cのとき、AとCの関係は？
703,IQ,A>B、B>Cのとき、AとCの関係は？
704,IQ,A>B、B>Cのとき、AとCの関係は？
705,IQ,A>B、B>Cのとき、AとCの関係は？
706,IQ,A>B、B>Cのとき、AとCの関係は？
707,IQ,A>B、B>Cのとき、AとCの関係は？
708,IQ,A>B、B>Cのとき、AとCの関係は？
709,IQ,A>B、B>Cのとき、AとCの関係は？
710,IQ,A>B、B>Cのとき、AとCの関係は？
711,IQ,A>B、B>Cのとき、AとCの関係は？
712,IQ,一辺4cmの正方形の面積は？
713,IQ,一辺5cmの正方形の面積は？
714,IQ,一辺6cmの正方形の面積は？
715,IQ,一辺7cmの正方形の面積は？
716,IQ,一辺8cmの正方形の面積は？
717,IQ,一辺9cmの正方形の面積は？
718,IQ,一辺10cmの正方形の面積は？
719,IQ,一辺11cmの正方形の面積は？
720,IQ,一辺12cmの正方形の面積は？
721,IQ,一辺13cmの正方形の面積は？
722,IQ,🎉最終問題1：3つの図形のパターンで次は？
723,IQ,🎉最終問題2：3つの図形のパターンで次は？
724,IQ,🎉最終問題3：3つの図形のパターンで次は？
725,IQ,🎉最終問題4：3つの図形のパターンで次は？
726,IQ,🎉最終問題5：3つの図形のパターンで次は？
727,IQ,🎉最終問題6：3つの図形のパターンで次は？
728,IQ,🎉最終問題7：3つの図形のパターンで次は？
729,IQ,🎉最終問題8：3つの図形のパターンで次は？
730,IQ,🎉最終問題9：3つの図形のパターンで次は？
731,JavaScript,オブジェクトのプロパティにアクセスする方法は？
732,JavaScript,"const obj = {a: 1, b: 2}; Object.keys(obj)の結果は？"
733,JavaScript,const obj = {a: 1}; delete obj.a; の後のobj.aは？
734,JavaScript,"Object.assign({a: 1}, {b: 2})の結果は？"
735,JavaScript,"const {a, b} = {a: 1, b: 2}; の後のaの値は？"
736,JavaScript,'key' in {key: 1}の結果は？
737,JavaScript,"Object.values({a: 1, b: 2})の結果は？"
738,JavaScript,const obj = {}; obj.x = 10; obj.xの値は？
739,JavaScript,Object.freeze()したオブジェクトは？
740,JavaScript,...演算子でオブジェクトをコピー：{...obj}
741,JavaScript,"[1, 2, 3].reduce((a, b) => a + b, 0)の結果は？"
742,JavaScript,"[1, 2, 3].find(x => x > 1)の結果は？"
743,JavaScript,"[1, 2, 3].every(x => x > 0)の結果は？"
744,JavaScript,"[1, 2, 3].some(x => x > 2)の結果は？"
745,JavaScript,"[[1, 2], [3, 4]].flat()の結果は？"
746,JavaScript,"[1, 2].flatMap(x => [x, x * 2])の結果は？"
747,JavaScript,"[...new Set([1, 1, 2, 2, 3])]の結果は？"
748,JavaScript,"[1, 2, 3].findIndex(x => x === 2)の結果は？"
749,JavaScript,Array.from('abc')の結果は？
750,JavaScript,"[1, 2, 3].fill(0)の結果は？"
751,JavaScript,Promise.resolve(1).then(x => x + 1)の最終結果は？
752,JavaScript,async function f() { return 1; } の返り値の型は？
753,JavaScript,await式が使えるのは？
754,JavaScript,"Promise.all([p1, p2])の動作は？"
755,JavaScript,"Promise.race([p1, p2])の動作は？"
756,JavaScript,try-catchでPromiseのエラーを捕捉するには？
757,JavaScript,.catch()メソッドの役割は？
758,JavaScript,.finally()は何時実行される？
759,JavaScript,"setTimeout(() => console.log('a'), 0)の実行タイミングは？"
760,JavaScript,Promise.reject('err').catch(e => e)の結果は？
761,JavaScript,let x = 1; function f() { return x; } f()の結果は？
762,JavaScript,function outer() { let x = 1; return function() { return x; }; } のパターンは？
763,JavaScript,var と let の主な違いは？
764,JavaScript,const で宣言した配列に push() できる？
765,JavaScript,"for (var i = 0; i < 3; i++) { setTimeout(() => console.log(i), 0); } の出力は？"
766,JavaScript,即時実行関数式(IIFE)の書き方は？
767,JavaScript,アロー関数のthisは何を指す？
768,JavaScript,'use strict' の効果は？
769,JavaScript,let x; console.log(x); の出力は？
770,JavaScript,ホイスティングが起こるのは？
771,JavaScript,JavaScriptの継承の仕組みは？
772,JavaScript,class は何のシンタックスシュガー？
773,JavaScript,new演算子の役割は？
774,JavaScript,class内のstaticメソッドの特徴は？
775,JavaScript,extends キーワードの役割は？
776,JavaScript,super() の役割は？
777,JavaScript,Object.create(proto)の役割は？
778,JavaScript,instanceof 演算子の役割は？
779,JavaScript,__proto__ と prototype の違いは？
780,JavaScript,constructor プロパティは何を指す？
781,JavaScript,ES6モジュールでエクスポートする方法は？
782,JavaScript,import文の正しい書き方は？
783,JavaScript,export default の特徴は？
784,JavaScript,import * as obj from './file' の意味は？
785,JavaScript,テンプレートリテラルの記号は？
786,JavaScript,`Hello ${name}` の ${} の役割は？
787,JavaScript,スプレッド演算子 ... の使い方は？
788,JavaScript,レスト引数 ...args の役割は？
789,JavaScript,デフォルト引数の書き方は？
790,JavaScript,Symbolの特徴は？
791,JavaScript,try-catchでエラーを捕捉する構文は？
792,JavaScript,throw new Error('message') の役割は？
793,JavaScript,finallyブロックの実行タイミングは？
794,JavaScript,console.log()の役割は？
795,JavaScript,typeof null の結果は？
796,JavaScript,JSON.parse()の役割は？
797,JavaScript,JSON.stringify()の役割は？
798,JavaScript,"localStorage.setItem('key', 'value')の役割は？"
799,JavaScript,"setInterval(fn, 1000)の動作は？"
800,JavaScript,clearInterval(id)の役割は？
801,Python,if x > 0: の行末のコロン(:)は？
802,Python,for i in range(3): の実行回数は？
803,Python,while True: の動作は？
804,Python,break文の役割は？
805,Python,continue文の役割は？
806,Python,else節がfor/whileループにも使える？
807,Python,pass文の役割は？
808,Python,if x == 5: と if x = 5: の違いは？
809,Python,match-case文（Python 3.10+）の用途は？
810,Python,elif は何の略？
811,Python,def func(): の後のインデントは？
812,Python,関数の返り値を返すキーワードは？
813,Python,def f(x=1): のx=1は？
814,Python,*args の役割は？
815,Python,**kwargs の役割は？
816,Python,lambda x: x * 2 は何？
817,Python,global キーワードの役割は？
818,Python,nonlocal キーワードの役割は？
819,Python,関数内で定義した変数のスコープは？
820,Python,デコレータ @decorator の役割は？
821,Python,class MyClass: でクラスを定義する際の慣例は？
822,Python,__init__ メソッドの役割は？
823,Python,self の意味は？
824,Python,クラス継承の書き方は？
825,Python,super() の役割は？
826,Python,プライベート変数の慣例は？
827,Python,@staticmethod の役割は？
828,Python,@classmethod の第一引数は？
829,Python,__str__ メソッドの役割は？
830,Python,多重継承は可能？
831,Python,"[1, 2, 3].append(4) の結果は？"
832,Python,"[1, 2, 3].pop() の返り値は？"
833,Python,"[1, 2, 3] + [4, 5] の結果は？"
834,Python,"[1, 2, 3] * 2 の結果は？"
835,Python,"タプル (1, 2, 3) は変更可能？"
836,Python,"set({1, 2, 2, 3}) の結果は？"
837,Python,"[x*2 for x in [1,2,3]] の結果は？"
838,Python,"[1, 2, 3][::-1] の結果は？"
839,Python,"'abc' in ['a', 'b', 'abc'] の結果は？"
840,Python,"len([1, [2, 3], 4]) の結果は？"
841,Python,"{'a': 1, 'b': 2}.get('c', 0) の結果は？"
842,Python,{'a': 1}.keys() の型は？
843,Python,"{**{'a': 1}, **{'b': 2}} の結果は？"
844,Python,"dict(a=1, b=2) の結果は？"
845,Python,"enumerate(['a','b','c']) の動作は？"
846,Python,"zip([1,2], ['a','b']) の結果は？"
847,Python,range(5) は何を返す？
848,Python,"reversed([1,2,3]) の型は？"
849,Python,"sorted([3,1,2]) の結果は？"
850,Python,"filter(lambda x: x>0, [-1,0,1,2]) の結果は？"
851,Python,'hello'.upper() の結果は？
852,Python,'  hello  '.strip() の結果は？
853,Python,'a-b-c'.split('-') の結果は？
854,Python,"'-'.join(['a','b','c']) の結果は？"
855,Python,"'hello'.replace('l', 'L') の結果は？"
856,Python,'hello'[1:4] の結果は？
857,Python,f'x={5}' の結果は？
858,Python,'hello'.startswith('he') の結果は？
859,Python,'123'.isdigit() の結果は？
860,Python,len('🐍') の結果は？
861,Python,"open('file.txt', 'r') の 'r' の意味は？"
862,Python,with open('file.txt') as f: の利点は？
863,Python,import math の後、円周率を使うには？
864,Python,from math import * の問題点は？
865,Python,import math as m の 'as m' の役割は？
866,Python,__name__ == '__main__' の意味は？
867,Python,os.path.exists('file.txt') の役割は？
868,Python,json.dumps({'a': 1}) の役割は？
869,Python,"json.loads('{""a"": 1}') の役割は？"
870,Python,pickle の用途は？
871,Python,try-except の役割は？
872,Python,except Exception as e: の e は？
873,Python,raise ValueError('message') の役割は？
874,Python,finally ブロックの実行タイミングは？
875,Python,assert x > 0 の役割は？
876,Python,print(f'{x=}') (Python 3.8+) の出力は？
877,Python,except の後に何も指定しないと？
878,Python,KeyError が発生するのは？
879,Python,IndexError が発生するのは？
880,Python,try-except-else の else の役割は？
881,Python,datetime.now() の役割は？
882,Python,"random.randint(1, 10) の結果は？"
883,Python,"re.match(r'^abc', 'abcdef') の役割は？"
884,Python,"collections.Counter([1,1,2,3]) の結果は？"
885,Python,collections.defaultdict(int) の特徴は？
886,Python,"itertools.chain([1,2], [3,4]) の役割は？"
887,Python,"sum([1, 2, 3]) の結果は？"
888,Python,"max([1, 5, 3]) の結果は？"
889,Python,"any([False, True, False]) の結果は？"
890,Python,"all([True, True, False]) の結果は？"
891,Python,type(3.14) の結果は？
892,Python,"int('10', 2) の結果は？"
893,Python,bin(10) の結果は？
894,Python,hex(255) の結果は？
895,Python,bool([]) の結果は？
896,Python,10 // 3 の結果は？
897,Python,10 % 3 の結果は？
898,Python,2 ** 3 の結果は？
899,Python,round(3.5) の結果は？
900,Python,abs(-5) の結果は？
901,Python,"divmod(10, 3) の結果は？"
902,Python,"complex(2, 3) の型は？"
903,Python,None の型は？
904,Python,0.1 + 0.2 == 0.3 の結果は？
905,Python,"isinstance(5, int) の結果は？"
906,Python,リストをソートするメソッドは？
907,Python,"[1,2,3].reverse() と reversed([1,2,3]) の違いは？"
908,Python,線形探索の計算量は？
909,Python,二分探索の前提条件は？
910,Python,二分探索の計算量は？
911,Python,バブルソートの最悪計算量は？
912,Python,再帰関数の特徴は？
913,Python,スタックの操作は？
914,Python,キューの操作は？
915,Python,ハッシュテーブルの平均検索時間は？
916,Python,collections.deque の特徴は？
917,Python,heapq モジュールの用途は？
918,Python,動的計画法の特徴は？
919,Python,貪欲法（greedy）の特徴は？
920,Python,in演算子でリスト検索の計算量は？
921,Python,sys.argv の用途は？
922,Python,os.environ の用途は？
923,Python,pathlib.Path の利点は？
924,Python,subprocess.run() の用途は？
925,Python,logging モジュールのレベルで最も重要度が高いのは？
926,Python,argparse の用途は？
927,Python,unittest の役割は？
928,Python,csv.reader() の用途は？
929,Python,urllib.request の用途は？
930,Python,hashlib.sha256() の用途は？
931,Python,PEP 8 は何の規約？
932,Python,snake_case が推奨されるのは？
933,Python,UPPER_CASE が推奨されるのは？
934,Python,docstring の書き方は？
935,Python,type hinting (型ヒント) の書き方は？
936,Python,仮想環境（venv）の用途は？
937,Python,pip の役割は？
938,Python,requirements.txt の用途は？
939,Python,__pycache__ の役割は？
940,Python,if __name__ == '__main__': の意味は？
941,Python,カプセル化の目的は？
942,Python,継承の利点は？
943,Python,ポリモーフィズムとは？
944,Python,抽象クラスの特徴は？
945,Python,"from abc import ABC, abstractmethod の用途は？"
946,Python,@property デコレータの役割は？
947,Python,@setter の役割は？
948,Python,__new__ メソッドの役割は？
949,Python,__del__ メソッドの役割は？
950,Python,__repr__ と __str__ の違いは？
951,Python,__eq__ メソッドの役割は？
952,Python,__len__ メソッドの役割は？
953,Python,__getitem__ メソッドの役割は？
954,Python,__iter__ メソッドの役割は？
955,Python,__call__ メソッドの役割は？
956,Python,yield キーワードの役割は？
957,Python,ジェネレータの利点は？
958,Python,(x**2 for x in range(10)) は？
959,Python,next() 関数の役割は？
960,Python,StopIteration 例外が発生するのは？
961,Python,"itertools.islice(range(10), 5) の結果は？"
962,Python,"itertools.cycle([1,2,3]) の動作は？"
963,Python,itertools.count(start=0) の動作は？
964,Python,"itertools.combinations([1,2,3], 2) の役割は？"
965,Python,"itertools.permutations([1,2], 2) の役割は？"
966,Python,zip_longest の特徴は？
967,Python,yield from の役割は？
968,Python,send() メソッドの役割は？
969,Python,close() メソッドの役割は？
970,Python,throw() メソッドの役割は？
971,Python,threading モジュールの用途は？
972,Python,multiprocessing モジュールの特徴は？
973,Python,GIL (Global Interpreter Lock) とは？
974,Python,asyncio の用途は？
975,Python,async def の役割は？
976,Python,await の使用場所は？
977,Python,threading.Lock() の役割は？
978,Python,Queue の特徴は？
979,Python,concurrent.futures.ThreadPoolExecutor の用途は？
980,Python,concurrent.futures.ProcessPoolExecutor の利点は？
981,Python,timeit モジュールの用途は？
982,Python,cProfile の用途は？
983,Python,メモリ使用量を減らすには？
984,Python,__slots__ の効果は？
985,Python,リスト内包表記 vs map() の違いは？
986,Python,functools.lru_cache の役割は？
987,Python,dis モジュールの用途は？
988,Python,sys.getsizeof() の役割は？
989,Python,gc モジュールの役割は？
990,Python,weakref の用途は？
991,Python,sqlite3 モジュールの用途は？
992,Python,cursor.execute() の役割は？
993,Python,cursor.fetchone() の返り値は？
